Test Name = Noise Test S/N: 2118112119H001003942

[IDENTIFICATION TEXT]
Date & Time	27/08/2021 - 17:06:51
Final Result	PASS
Version Number	 - 
Model Number	MX923001
Model Type	LIN
BarCode	2118112119H001003942
UTT Code	No UTT
UTT Description	No UTT
Software ID	MX923001_8600rpm_20_Bands_LIMITS_05_January.pro
TST folder	2118112119H001003942_TST_2021-08-27_17-06-51_
TDM folder	2118112119H001003942_TDM_2021-08-27_17-06-51_
[IDENTIFICATION TEXT END]

[IDENTIFICATION COLOR]
16448250	16448250
16448250	6618880
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
16448250	16448250
[IDENTIFICATION COLOR END]

[RESULTS TEXT]
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Ground Bond Test	11.000	miliOhms	65.000	0.000	0	Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Ground Continuity Test	0.180	Ohms	0.650	0.000	0	Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Interlock 1 Continuity Test	0.300	Ohms	0.650	0.000	0	Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Interlock 2 Continuity Test	0.370	Ohms	0.650	0.000	0	Pass
Xnet Communications	 	 	 	 	 	 
Inverter FW Version	726					Pass
Inverter SN	106032					Pass
Test Summary						Pass
ELECTRICAL SAFETY	 	 	 	 	 	 
Test Summary						Pass
Result Isolation Resistance Test	272.600	MegaOhms	50000.000	75.000	0	Pass
Functional Sequence	 	 	 	 	 	 
Reseteable DTC T2						Pass
Non Reseteable DTC T2						Pass
Functional Sequence	 	 	 	 	 	 
Reseteable DTC T1						Pass
Non Reseteable DTC T1						Pass
Functional Sequence	 	 	 	 	 	 
Reseteable DTC T3						Pass
Non Reseteable DTC T3						Pass
TIME MARK	 	 	 	 	 	 
ta - t0 (s)	23.467	s	400.000	0.000	0	Pass
t0 - t2 (s)	8.099	s	12.000	0.000	0	Pass
t1 - t6 (s)	9.793	s	400.000	0.000	0	Pass
t3 - t4 (s)	3.680	s	400.000	0.000	0	Pass
(T3-T4) Functional Test Signals	 	 	 	 	 	 
Test Summary						Pass
Suction pressure	2.877	bar	4.850	0.500	0	Pass
Discharge Pressure	17.221	bar	17.600	17.000	0	Pass
Suction Flow	0.854	m3/min	0.950	0.830	0	Pass
Discharge Flow	0.115	m3/min	0.500	0.050	0	Pass
HV Voltage	298.282	Volts	303.000	297.000	0	Pass
LV Voltage	13.740	Volts	14.750	11.750	0	Pass
HV Current	19.360	Amps	28.000	10.000	0	Pass
LV Current	0.278	Amps	0.350	0.250	0	Pass
Suction Temp	24.362	deg	35.000	0.000	0	Pass
Discharge Temp	53.367	deg	75.000	0.000	0	Pass
DUT Speed	8602.778	RPM	8800.000	8400.000	0	Pass
DUT Current	25.000	A_pk	27.000	16.000	0	Pass
DUT Temperature	43.729	deg	60.000	30.000	0	Pass
Test Summary						Pass
(T4-T5) Rattle Check	 	 	 	 	 	 
HV Current	15.015	Amps	17.000	9.000	0	Pass
(T3-T4) Vibration Analysis	 	 	 	 	 	 
Test Summary						Pass
ACC_Total t3_t4	26.009	dB	369.373	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_0	2.936	m/s^2	59.871	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_1	6.413	m/s^2	175.312	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_2	2.571	m/s^2	126.119	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_3	5.392	m/s^2	51.328	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_4	16.328	m/s^2	183.859	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_5	8.885	m/s^2	210.532	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_6	7.748	m/s^2	183.048	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_7	2.962	m/s^2	67.361	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_8	1.951	m/s^2	59.173	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_9	0.954	m/s^2	12.710	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_10	0.302	m/s^2	11.440	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_11	0.253	m/s^2	15.763	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_12	0.349	m/s^2	10.462	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_13	0.363	m/s^2	12.892	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_14	0.327	m/s^2	7.907	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_15	0.292	m/s^2	8.024	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_16	0.123	m/s^2	9.149	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_17	0.131	m/s^2	8.173	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_18	0.137	m/s^2	11.568	0.000	0	Pass
Narrow Band TOP X t3_t4_Band_19	0.148	m/s^2	8.814	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_0	1.158	m/s^2	79.438	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_1	2.678	m/s^2	76.733	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_2	1.559	m/s^2	78.988	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_3	2.559	m/s^2	98.822	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_4	16.449	m/s^2	272.846	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_5	40.105	m/s^2	517.531	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_6	12.740	m/s^2	265.778	0.000	0	Pass
Narrow Band TOP Y t3_t4_Band_7	3.238	m/s^2	79.379	0.000	0	Pass
